Date,T2M_Anomaly,SM_Anomaly
1991-05-30,-2.0326843,0.052490264
1991-06-06,-0.3555603,0.051653117
1991-06-13,2.5276184,0.0056323707
1991-06-20,0.9436035,-0.0062771738
1991-06-27,-1.7612,0.00794673
1991-07-04,-1.0734253,0.082909256
1991-07-11,1.4968262,0.04618673
1991-07-18,0.050933838,0.041282058
1991-07-25,-1.2351685,0.057824
1991-08-01,-0.7732239,0.08399913
1991-08-08,1.111145,0.058963418
1991-08-15,-1.732666,0.06497878
1991-08-22,-1.7807007,0.02369973
1991-08-29,-2.745758,0.03012757
1991-09-05,-2.9152222,0.0045634955
1991-09-12,-0.13076782,-0.02205263
1991-09-19,-0.045806885,0.0011728257
1991-09-26,4.655304,-0.0048741847
1991-10-03,-0.4560547,0.024195611
1991-10-10,2.636963,-0.0026980937
1991-10-17,1.5953369,0.013477504
1991-10-24,-5.043396,0.025822371
1991-10-31,-3.2513733,0.014459193
1991-11-07,0.46102905,0.03033775
1991-11-14,1.7431641,0.02265516
1991-11-21,3.6131287,0.021254629
1991-11-28,-0.85357666,0.0053935647
1991-12-05,-6.368469,-0.010139167
1991-12-12,-4.9744263,-0.02078104
1991-12-19,-1.1603088,0.00832656
1991-12-26,-4.1089478,-0.011069387
1992-01-02,1.8238525,-0.002185315
1992-01-09,1.6353455,-0.0041457713
1992-01-16,-0.7809143,-0.018075287
1992-01-23,-3.039917,-0.017785639
1992-01-30,-1.5319214,-0.0218333
1992-02-06,1.17276,-0.012454569
1992-02-13,2.0631104,-0.012356669
1992-02-20,-4.0987854,-0.017191678
1992-02-27,1.8844604,-0.019519538
1992-03-05,-0.15078735,-0.03924325
1992-03-12,-1.6716003,-0.031645328
1992-03-19,-2.3746948,-0.0044238567
1992-03-26,0.7312927,0.0061963797
1992-04-02,2.626068,-0.00823006
1992-04-09,-1.7421265,0.017367363
1992-04-16,-1.4153442,0.023867875
1992-04-23,1.6357727,0.0064837933
1992-04-30,0.5453186,-0.038706183
1992-05-07,0.40246582,-0.054029405
1992-05-14,-2.70224,-0.025716841
1992-05-21,-2.6473389,0.0055810213
1992-05-28,-0.37850952,0.005648911
1992-06-04,-0.68499756,0.013554931
1992-06-11,-0.8129883,0.031074554
1992-06-18,0.9605713,0.06753448
1992-06-25,-2.3519897,0.05793643
1992-07-02,-0.8741455,0.042326927
1992-07-09,-1.8756409,0.03218746
1992-07-16,-1.4191895,0.025672927
1992-07-23,0.22293091,0.026546791
1992-07-30,0.6463623,-0.00962925
1992-08-06,2.297699,-0.034217224
1992-08-13,1.896698,-0.046468437
1992-08-20,3.144806,-0.051820874
1992-08-27,3.4718628,-0.05989112
1992-09-03,-1.7857056,-0.035653353
1992-09-10,-0.2319336,-0.044553354
1992-09-17,-0.33517456,-0.06456831
1992-09-24,-1.0978699,-0.05982904
1992-10-01,1.8277283,-0.023929596
1992-10-08,0.16043091,-0.013990015
1992-10-15,1.0922241,0.0068765283
1992-10-22,1.3867798,0.011761963
1992-10-29,5.4119873,-0.021393627
1992-11-05,1.2347107,-0.05742973
1992-11-12,0.05239868,0.0019329488
1992-11-19,0.2955017,0.01959297
1992-11-26,0.0897522,-0.0070937276
1992-12-03,1.6789246,-0.010457486
1992-12-10,0.24960327,0.013539493
1992-12-17,-2.7196045,-0.0124318
1992-12-24,-6.6039124,-0.029880375
1992-12-31,-5.8273926,-0.027749002
1993-01-07,-1.7996826,-0.01858303
1993-01-14,1.9534302,-0.008499056
1993-01-21,3.7058105,-0.024130642
1993-01-28,-2.1684265,-0.028333485
1993-02-04,0.8493347,-0.028278112
1993-02-11,-3.2879944,-0.044757128
1993-02-18,-3.483673,-0.024065822
1993-02-25,-3.8730774,-0.0032767951
1993-03-04,-5.6127625,0.0016980171
1993-03-11,-3.1567688,0.02123952
1993-03-18,2.5523682,0.0030946434
1993-03-25,-2.7450256,0.019652545
1993-04-01,-1.3227539,0.020495832
1993-04-08,0.13156128,0.009020239
1993-04-15,-0.0012207031,0.007021427
1993-04-22,0.5817871,-0.031691343
1993-04-29,-0.2303772,-0.026342511
1993-05-06,-1.5396118,0.023274213
1993-05-13,-0.22503662,0.03189197
1993-05-20,0.9953308,0.028897256
1993-05-27,3.0161743,-0.012920469
1993-06-03,1.4576416,-0.018979847
1993-06-10,0.96395874,-0.03518361
1993-06-17,0.5000305,-0.02079174
1993-06-24,-1.1173401,-0.058525994
1993-07-01,0.018127441,-0.050657824
1993-07-08,-2.8934937,-0.033496782
1993-07-15,0.9062195,-0.046524137
1993-07-22,-0.93203735,-0.028646573
1993-07-29,2.112915,-0.05349274
1993-08-05,0.2859497,-0.042710572
1993-08-12,0.14767456,-0.01829943
1993-08-19,1.6696777,-0.053251177
1993-08-26,-0.71698,-0.019038454
1993-09-02,-3.560608,0.015513599
1993-09-09,1.4440918,0.008853972
1993-09-16,0.3430786,-0.022844315
1993-09-23,0.44244385,-0.05543329
1993-09-30,-1.2079468,0.0038184226
1993-10-07,3.3236084,-0.010199785
1993-10-14,4.1009827,-0.057087883
1993-10-21,3.6043396,-0.07496965
1993-10-28,-1.6147461,-0.0773782
1993-11-04,4.5812683,-0.043412417
1993-11-11,-5.8189087,-0.011395335
1993-11-18,-5.308563,0.0032019317
1993-11-25,-5.628601,-0.0033380091
1993-12-02,-1.562561,-0.0006173551
1993-12-09,1.0297852,0.013429254
1993-12-16,3.908844,0.016127229
1993-12-23,2.7059326,0.012389541
1993-12-30,2.2999878,0.004107088
1994-01-06,4.8272705,0.004837513
1994-01-13,2.9321594,0.0032329857
1994-01-20,1.3412781,0.007425666
1994-01-27,1.5458679,0.0047284663
1994-02-03,4.2551575,-0.0021069646
1994-02-10,-3.8891602,-0.013638616
1994-02-17,-0.5922241,3.1590462e-06
1994-02-24,4.078949,-0.0012691915
1994-03-03,2.370575,-0.011870742
1994-03-10,1.774353,-0.022550374
1994-03-17,0.7698364,-0.030973285
1994-03-24,0.52020264,-0.02347976
1994-03-31,1.3753357,-0.023865074
1994-04-07,0.6838379,0.010919243
1994-04-14,2.7539673,-0.019114166
1994-04-21,0.7442932,-3.9339066e-06
