"","dates","SCDHI"
"152",1986-06-03,0.328804220436942
"153",1986-06-06,0.329947943944595
"154",1986-06-09,-0.808949523781555
"155",1986-06-12,0.20680538618154
"156",1986-06-15,1.46870656746761
"157",1986-06-18,1.65705845773511
"158",1986-06-21,0.828556106316177
"159",1986-06-24,-0.137020657433486
"160",1986-06-27,-0.211186695115659
"161",1986-06-30,-0.965120809775558
"162",1986-07-03,-0.709276811044736
"163",1986-07-06,0.16488315590485
"164",1986-07-09,-0.684650161370104
"165",1986-07-12,0.0152060925344299
"166",1986-07-15,-0.196320446690906
"167",1986-07-18,-0.399184172708082
"168",1986-07-21,-0.0943892321480368
"169",1986-07-24,-0.457377747133053
"170",1986-07-27,0.030357249391723
"171",1986-07-30,0.487957656468249
"172",1986-08-02,1.0639970347552
"173",1986-08-05,0.513401516587709
